region,category,parameter,mode,powertrain,year,unit,value
New Zealand,Historical,EV sales,Cars,BEV,2018,,4356
New Zealand,Historical,EV sales,Cars,PHEV,2018,,1185
New Zealand,Historical,EV sales,Cars,BEV,2019,,5280
New Zealand,Historical,EV sales,Cars,FCEV,2019,,2
New Zealand,Historical,EV sales,Cars,PHEV,2019,,1604
New Zealand,Historical,EV sales,Cars,BEV,2020,,3908
New Zealand,Historical,EV sales,Cars,FCEV,2020,,3
New Zealand,Historical,EV sales,Cars,PHEV,2020,,1458
Norway,Historical,EV sales,Cars,BEV,2010,,905
Norway,Historical,EV sales,Cars,PHEV,2010,,2
Norway,Historical,EV sales,Cars,BEV,2011,,1229
Norway,Historical,EV sales,Cars,PHEV,2011,,1
Norway,Historical,EV sales,Cars,BEV,2012,,4122
Norway,Historical,EV sales,Cars,PHEV,2012,,333
Norway,Historical,EV sales,Cars,BEV,2013,,7882
Norway,Historical,EV sales,Cars,PHEV,2013,,323
Norway,Historical,EV sales,Cars,BEV,2014,,19771
Norway,Historical,EV sales,Cars,FCEV,2014,,4
Norway,Historical,EV sales,Cars,PHEV,2014,,1677
Norway,Historical,EV sales,Cars,BEV,2015,,25779
Norway,Historical,EV sales,Cars,FCEV,2015,,9
Norway,Historical,EV sales,Cars,PHEV,2015,,7947
Norway,Historical,EV sales,Cars,BEV,2016,,24222
Norway,Historical,EV sales,Cars,FCEV,2016,,20
Norway,Historical,EV sales,Cars,PHEV,2016,,20666
Norway,Historical,EV sales,Cars,BEV,2017,,33080
Norway,Historical,EV sales,Cars,FCEV,2017,,30
Norway,Historical,EV sales,Cars,PHEV,2017,,29232
Norway,Historical,EV sales,Cars,BEV,2018,,46143
Norway,Historical,EV sales,Cars,FCEV,2018,,45
Norway,Historical,EV sales,Cars,PHEV,2018,,26546
Norway,Historical,EV sales,Cars,BEV,2019,,60345
Norway,Historical,EV sales,Cars,FCEV,2019,,29
Norway,Historical,EV sales,Cars,PHEV,2019,,19295
Norway,Historical,EV sales,Cars,BEV,2020,,76804
Norway,Historical,EV sales,Cars,FCEV,2020,,16
Norway,Historical,EV sales,Cars,PHEV,2020,,28905
Other Europe,Historical,EV sales,Cars,BEV,2011,,871
Other Europe,Historical,EV sales,Cars,PHEV,2011,,19
Other Europe,Historical,EV sales,Cars,BEV,2012,,1354
Other Europe,Historical,EV sales,Cars,PHEV,2012,,358
