region,category,parameter,mode,powertrain,year,unit,value
Poland,Historical,EV chargers,,Publicly available fast,2015,,8
Poland,Historical,EV chargers,,Publicly available slow,2015,,290
Poland,Historical,EV chargers,,Publicly available fast,2016,,32
Poland,Historical,EV chargers,,Publicly available slow,2016,,290
Poland,Historical,EV chargers,,Publicly available fast,2017,,113
Poland,Historical,EV chargers,,Publicly available slow,2017,,410
Poland,Historical,EV chargers,,Publicly available fast,2018,,281
Poland,Historical,EV chargers,,Publicly available slow,2018,,488
Poland,Historical,EV chargers,,Publicly available fast,2019,,308
Poland,Historical,EV chargers,,Publicly available slow,2019,,529
Poland,Historical,EV chargers,,Publicly available fast,2020,,677
Poland,Historical,EV chargers,,Publicly available slow,2020,,781
Portugal,Historical,EV chargers,,Publicly available fast,2011,,6
Portugal,Historical,EV chargers,,Publicly available slow,2011,,1072
Portugal,Historical,EV chargers,,Publicly available fast,2012,,7
Portugal,Historical,EV chargers,,Publicly available slow,2012,,1120
Portugal,Historical,EV chargers,,Publicly available fast,2013,,17
Portugal,Historical,EV chargers,,Publicly available slow,2013,,1158
Portugal,Historical,EV chargers,,Publicly available fast,2014,,17
Portugal,Historical,EV chargers,,Publicly available slow,2014,,1178
Portugal,Historical,EV chargers,,Publicly available fast,2015,,22
Portugal,Historical,EV chargers,,Publicly available slow,2015,,1238
Portugal,Historical,EV chargers,,Publicly available fast,2016,,41
Portugal,Historical,EV chargers,,Publicly available slow,2016,,1254
Portugal,Historical,EV chargers,,Publicly available fast,2017,,153
Portugal,Historical,EV chargers,,Publicly available slow,2017,,1452
Portugal,Historical,EV chargers,,Publicly available fast,2018,,184
Portugal,Historical,EV chargers,,Publicly available slow,2018,,1602
Portugal,Historical,EV chargers,,Publicly available fast,2019,,359
Portugal,Historical,EV chargers,,Publicly available slow,2019,,1602
Portugal,Historical,EV chargers,,Publicly available fast,2020,,647
Portugal,Historical,EV chargers,,Publicly available slow,2020,,2154
South Africa,Historical,EV chargers,,Publicly available fast,2017,,37
South Africa,Historical,EV chargers,,Publicly available slow,2017,,87
South Africa,Historical,EV chargers,,Publicly available fast,2018,,81
South Africa,Historical,EV chargers,,Publicly available slow,2018,,158
South Africa,Historical,EV chargers,,Publicly available fast,2019,,133
South Africa,Historical,EV chargers,,Publicly available slow,2019,,112
South Africa,Historical,EV chargers,,Publicly available fast,2020,,163
South Africa,Historical,EV chargers,,Publicly available slow,2020,,142
Spain,Historical,EV chargers,,Publicly available slow,2012,,400
Spain,Historical,EV chargers,,Publicly available fast,2013,,91
Spain,Historical,EV chargers,,Publicly available slow,2013,,800
Spain,Historical,EV chargers,,Publicly available fast,2014,,109
Spain,Historical,EV chargers,,Publicly available slow,2014,,800
Spain,Historical,EV chargers,,Publicly available fast,2015,,243
Spain,Historical,EV chargers,,Publicly available slow,2015,,1378
Spain,Historical,EV chargers,,Publicly available fast,2016,,232
Spain,Historical,EV chargers,,Publicly available slow,2016,,3312
Spain,Historical,EV chargers,,Publicly available fast,2017,,596
Spain,Historical,EV chargers,,Publicly available slow,2017,,4312
