region,parameter,powertrain,year,unit,value
Italy,EV sales share,EV,2010,percent,0.002
Italy,EV sales,BEV,2011,N/A,113.0
Italy,EV sales share,EV,2011,percent,0.006
Italy,EV sales,BEV,2012,N/A,459.0
Italy,EV sales share,EV,2012,percent,0.033
Italy,EV sales,BEV,2013,N/A,794.0
Italy,EV sales,PHEV,2013,N/A,182.0
Italy,EV sales share,EV,2013,percent,0.075
Italy,EV sales,BEV,2014,N/A,1040.0
Italy,EV sales,FCEV,2014,N/A,10.0
Italy,EV sales,PHEV,2014,N/A,336.0
Italy,EV sales share,EV,2014,percent,0.101
Italy,EV sales,BEV,2015,N/A,1396.0
Italy,EV sales,FCEV,2015,N/A,1.0
Italy,EV sales,PHEV,2015,N/A,738.0
Italy,EV sales share,EV,2015,percent,0.135
Italy,EV sales,BEV,2016,N/A,1382.29
Italy,EV sales,PHEV,2016,N/A,1438.71
Italy,EV sales share,EV,2016,percent,0.154
Italy,EV sales,BEV,2017,N/A,2022.0
Italy,EV sales,PHEV,2017,N/A,2864.0
Italy,EV sales share,EV,2017,percent,0.247
Italy,EV sales,BEV,2018,N/A,4978.0
Italy,EV sales,FCEV,2018,N/A,1.0
Italy,EV sales,PHEV,2018,N/A,4798.0
Italy,EV sales share,EV,2018,percent,0.509
Italy,EV sales,BEV,2019,N/A,10663.0
Italy,EV sales,FCEV,2019,N/A,17.0
Italy,EV sales,PHEV,2019,N/A,6471.0
Italy,EV sales share,EV,2019,percent,0.894
Italy,EV sales,BEV,2020,N/A,32485.0
Italy,EV sales,FCEV,2020,N/A,7.0
Italy,EV sales,PHEV,2020,N/A,27407.0
Italy,EV sales share,EV,2020,percent,4.335
Japan,EV sales,BEV,2010,N/A,2442.0
Japan,EV sales,FCEV,2010,N/A,2.0
Japan,EV sales share,EV,2010,percent,0.055
Japan,EV sales,BEV,2011,N/A,12607.0
Japan,EV sales,PHEV,2011,N/A,15.0
Japan,EV sales share,EV,2011,percent,0.328
Japan,EV sales,BEV,2012,N/A,13469.0
Japan,EV sales,FCEV,2012,N/A,1.0
Japan,EV sales,PHEV,2012,N/A,10968.0
Japan,EV sales share,EV,2012,percent,0.53
Japan,EV sales,BEV,2013,N/A,14756.0
Japan,EV sales,FCEV,2013,N/A,4.0
Japan,EV sales,PHEV,2013,N/A,14122.0
Japan,EV sales share,EV,2013,percent,0.644
Japan,EV sales,BEV,2014,N/A,16109.0
Japan,EV sales,FCEV,2014,N/A,7.0
Japan,EV sales,PHEV,2014,N/A,16178.0
Japan,EV sales share,EV,2014,percent,0.669
Japan,EV sales,BEV,2015,N/A,10465.0
Japan,EV sales,FCEV,2015,N/A,388.0
Japan,EV sales,PHEV,2015,N/A,14188.0
Japan,EV sales share,EV,2015,percent,0.557
Japan,EV sales,BEV,2016,N/A,15300.0
Japan,EV sales,FCEV,2016,N/A,1055.0
Japan,EV sales,PHEV,2016,N/A,9390.0
Japan,EV sales share,EV,2016,percent,0.576
Japan,EV sales,BEV,2017,N/A,18100.0
Japan,EV sales,FCEV,2017,N/A,850.0
Japan,EV sales,PHEV,2017,N/A,36000.0
Japan,EV sales share,EV,2017,percent,1.034
Japan,EV sales,BEV,2018,N/A,26530.0
Japan,EV sales,FCEV,2018,N/A,610.0
Japan,EV sales,PHEV,2018,N/A,23220.0
Japan,EV sales share,EV,2018,percent,0.944
Japan,EV sales,BEV,2019,N/A,21300.0
Japan,EV sales,FCEV,2019,N/A,673.0
Japan,EV sales,PHEV,2019,N/A,17600.0
Japan,EV sales share,EV,2019,percent,0.749
Japan,EV sales,BEV,2020,N/A,14600.0
Japan,EV sales,FCEV,2020,N/A,800.0
Japan,EV sales,PHEV,2020,N/A,14700.0
Japan,EV sales share,EV,2020,percent,0.637
Malaysia,EV sales share,EV,2012,percent,0.002
Malaysia,EV sales share,EV,2014,percent,0.003
Malaysia,EV sales share,EV,2015,percent,0.006
Malaysia,EV sales share,EV,2016,percent,0.021
Malaysia,EV sales share,EV,2017,percent,1.581
Malaysia,EV sales share,EV,2018,percent,1.481
Malaysia,EV sales share,EV,2019,percent,0.03
Malaysia,EV sales share,EV,2020,percent,0.035
Mexico,EV sales,BEV,2011,N/A,3.0
Mexico,EV sales,BEV,2012,N/A,88.0
Mexico,EV sales share,EV,2012,percent,0.011
Mexico,EV sales,BEV,2013,N/A,12.0
Mexico,EV sales share,EV,2013,percent,0.001
Mexico,EV sales,BEV,2014,N/A,48.0
Mexico,EV sales share,EV,2014,percent,0.005
Mexico,EV sales,BEV,2015,N/A,92.0
Mexico,EV sales,PHEV,2015,N/A,7.0
Mexico,EV sales share,EV,2015,percent,0.008
Mexico,EV sales,BEV,2016,N/A,254.0
Mexico,EV sales,PHEV,2016,N/A,521.0
Mexico,EV sales share,EV,2016,percent,0.056
Mexico,EV sales,BEV,2017,N/A,234.0
Mexico,EV sales,PHEV,2017,N/A,968.0
Mexico,EV sales share,EV,2017,percent,0.09
Mexico,EV sales,BEV,2018,N/A,201.0
Mexico,EV sales,PHEV,2018,N/A,1584.0
Mexico,EV sales share,EV,2018,percent,0.142
Mexico,EV sales,BEV,2019,N/A,268.0
Mexico,EV sales,PHEV,2019,N/A,452.0
Mexico,EV sales share,EV,2019,percent,0.063
Mexico,EV sales,BEV,2020,N/A,1906.0
Mexico,EV sales,PHEV,2020,N/A,610.0
Mexico,EV sales share,EV,2020,percent,0.257
Netherlands,EV sales,BEV,2010,N/A,120.0
Netherlands,EV sales share,EV,2010,percent,0.025
Netherlands,EV sales,BEV,2011,N/A,858.0
Netherlands,EV sales,PHEV,2011,N/A,17.0
Netherlands,EV sales share,EV,2011,percent,0.159
