region,year,product,lge_per_100km
Canada,2013,Hybrid,4.77
Canada,2013,Large car,8.37
Canada,2013,Large SUV/Pick-up,11.3
Canada,2013,Medium car,6.95
Canada,2013,Petrol,7.52
Canada,2013,Small SUV/Pick-up,8.61
Canada,2013,Van/LCV,9.5
Canada,2014,All vehicles,8.76
Canada,2014,City car,6.28
Canada,2014,Diesel,7.82
Canada,2014,Electric,1.73
Canada,2014,Hybrid,5.22
Canada,2014,Large car,8.39
Canada,2014,Large SUV/Pick-up,11.17
Canada,2014,Medium car,6.63
Canada,2014,Petrol,8.43
Canada,2014,Small SUV/Pick-up,8.63
Canada,2014,Van/LCV,14.11
Canada,2015,All vehicles,8.8
Canada,2015,City car,6.26
Canada,2015,Diesel,7.74
Canada,2015,Electric,1.81
Canada,2015,Hybrid,5.15
Canada,2015,Hydrogen,4.7
Canada,2015,Large car,8.41
Canada,2015,Large SUV/Pick-up,11.07
Canada,2015,Medium car,6.6
Canada,2015,Petrol,8.69
Canada,2015,Plug-in,5.0
Canada,2015,Small SUV/Pick-up,8.53
Canada,2015,Van/LCV,13.08
Canada,2016,All vehicles,8.88
Canada,2016,City car,6.15
Canada,2016,Diesel,8.26
Canada,2016,Electric,2.09
Canada,2016,Hybrid,5.18
Canada,2016,Hydrogen,4.38
Canada,2016,Large car,8.3
Canada,2016,Large SUV/Pick-up,11.25
Canada,2016,Medium car,6.46
Canada,2016,Petrol,8.87
Canada,2016,Plug-in,2.85
Canada,2016,Small SUV/Pick-up,8.43
Canada,2016,Van/LCV,11.97
Canada,2017,All vehicles,8.91
Canada,2017,City car,5.95
Canada,2017,CNG,19.8
Canada,2017,Diesel,7.85
Canada,2017,Electric,1.93
Canada,2017,Hybrid,5.08
Canada,2017,Large car,8.24
Canada,2017,Large SUV/Pick-up,11.43
Canada,2017,Medium car,6.33
Canada,2017,Petrol,8.94
Canada,2017,Plug-in,2.78
Canada,2017,Small SUV/Pick-up,8.32
Canada,2017,Van/LCV,12.12
Canada,2018,All vehicles,8.67
Canada,2018,City car,5.88
Canada,2018,CNG,22.79
Canada,2018,Diesel,9.14
Canada,2018,Electric,1.75
Canada,2018,Hybrid,5.28
Canada,2018,Hydrogen,4.04
Canada,2018,Large car,8.27
Canada,2018,Large SUV/Pick-up,10.95
Canada,2018,Medium car,6.15
Canada,2018,Petrol,8.75
Canada,2018,Plug-in,3.71
Canada,2018,Small SUV/Pick-up,8.16
Canada,2018,Van/LCV,13.0
Canada,2019,All vehicles,8.62
Canada,2019,City car,5.53
Canada,2019,CNG,22.75
Canada,2019,Diesel,9.51
Canada,2019,Electric,1.86
Canada,2019,Hybrid,5.72
Canada,2019,Hydrogen,3.96
Canada,2019,Large car,8.03
Canada,2019,Large SUV/Pick-up,10.89
Canada,2019,Medium car,6.09
Canada,2019,Petrol,8.77
Canada,2019,Plug-in,3.44
Canada,2019,Small SUV/Pick-up,7.99
Canada,2019,Van/LCV,12.81
Chile,2005,All vehicles,8.54
Chile,2005,City car,7.99
Chile,2005,Diesel,9.0
Chile,2005,Large SUV/Pick-up,10.58
Chile,2005,Medium car,8.07
Chile,2005,Petrol,8.44
Chile,2005,Van/LCV,8.05
Chile,2008,All vehicles,8.29
Chile,2008,City car,7.18
Chile,2008,Diesel,8.93
Chile,2008,Hybrid,5.08
Chile,2008,Large SUV/Pick-up,10.89
Chile,2008,Medium car,8.17
Chile,2008,Petrol,8.16
Chile,2008,Van/LCV,7.7
Chile,2010,All vehicles,8.85
Chile,2010,City car,7.33
Chile,2010,Diesel,9.01
Chile,2010,Hybrid,5.44
Chile,2010,Large SUV/Pick-up,10.54
Chile,2010,Medium car,8.11
Chile,2010,Petrol,8.81
Chile,2010,Van/LCV,9.07
